timestamp,speed_kmh,distance_km,acceleration_ms2,road_elevation_percent,coasting_flag,battery_current_a,energy_con_wh,ke_lost_wh,e_regen_wh,batt_pack_temp_c,,,
33,43.9,0.012194444,0.17,3.19,0,42.79,4.25,0,0,25.0368,,,
34,44.4,0.012333333,0.14,3.27,0,41.76,3.53,0,0,25.0385,,,
35,44.5,0.012361111,0.03,3.35,0,34.7,2.77,0.45627572,0,25.0397,,,
36,44.2,0.012277778,-0.08,3.42,0,27.22,0.39,2.235082305,0,25.0404,,,
37,42.7,0.011861111,-0.42,3.5,0,3.81,-1.93,3.965706447,0,25.0404,,,
38,39.9,0.011083333,-0.78,3.57,0,-18.95,-1.97,3.823902606,1.852626667,25.0408,,,
39,37,0.010277778,-0.81,3.64,0,-19.36,-1.07,2.946502058,1.892386667,25.0412,,,
40,34.6,0.009611111,-0.67,3.72,0,-10.47,-0.84,2.638374486,1.023346667,25.0413,,,
41,32.3,0.008972222,-0.64,3.78,0,-8.26,-2.05,3.468621399,0.807506667,25.0414,,,
42,29,0.008055556,-0.92,3.85,0,-20.15,-2.42,3.617798354,1.970013333,25.0418,,,
43,25.1,0.006972222,-1.08,3.92,0,-23.79,-1.19,2.35202332,2.325013333,25.0424,,,
44,22.2,0.006166667,-0.81,3.98,0,-11.69,0.39,0.960733882,0.960733882,25.0425,,,
45,20.9,0.005805556,-0.36,4.05,0,3.81,1.11,0.354080933,0,25.0425,,,
46,20.4,0.005666667,-0.14,4.11,0,10.87,0.72,0.615740741,0,25.0426,,,
47,19.5,0.005416667,-0.25,4.16,0,7.12,0.52,0.714849108,0,25.0426,,,
48,18.4,0.005111111,-0.31,4.22,0,5.08,0.91,0.372427984,0,25.0426,,,
49,17.8,0.004944444,-0.17,4.28,0,8.93,1.4,0,0,25.0427,,,
50,17.8,0.004944444,0,4.33,0,13.77,1.08,0.241426612,0,25.0429,,,
51,17.4,0.004833333,-0.11,4.38,0,10.57,0.08,0.964849108,0,25.043,,,
52,15.7,0.004361111,-0.47,4.43,0,0.74,-0.46,1.283950617,0,25.043,,,
53,13.1,0.003638889,-0.72,4.48,0,-4.49,0.43,0.432098765,0.432098765,25.043,,,
54,12.1,0.003361111,-0.28,4.52,0,4.21,0.91,0.041323731,0,25.043,,,
55,12,0.003333333,-0.03,4.57,0,8.93,0.97,0,0,25.0431,,,
56,12,0.003333333,0,4.61,0,9.56,0.98,0,0,25.0432,,,
57,12,0.003333333,0,4.65,0,9.62,1.17,0,0,25.0433,,,
58,12.3,0.003416667,0.08,4.69,0,11.48,1.2,0,0,25.0434,,,
59,12.6,0.0035,0.08,4.72,0,11.82,2.59,0,0,25.0435,,,
60,14.7,0.004083333,0.58,4.76,0,25.42,1.7,0,0,25.0441,,,
61,15.3,0.00425,0.17,4.79,0,16.74,1.78,0,0,25.0444,,,
62,15.9,0.004416667,0.17,4.82,0,17.48,1.59,0,0,25.0447,,,
63,16.2,0.0045,0.08,4.84,0,15.59,2.15,0,0,25.0449,,,
64,17.1,0.00475,0.25,4.87,0,21.1,2.07,0,0,25.0453,,,
65,17.8,0.004944444,0.19,4.89,0,20.38,1.8,0,0,25.0457,,,
66,18.1,0.005027778,0.08,4.91,0,17.67,1.84,0,0,25.046,,,
67,18.4,0.005111111,0.08,4.93,0,18.03,3.49,0,0,25.0463,,,
68,20.3,0.005638889,0.53,4.95,0,34.32,5.05,0,0,25.0475,,,
69,23.2,0.006444444,0.81,4.96,0,49.59,6.26,0,0,25.05,,,
70,26.5,0.007361111,0.92,4.97,0,61.5,7.08,0,0,25.0538,,,
71,29.8,0.008277778,0.92,4.98,0,69.51,7.05,0,0,25.0587,,,
72,32.6,0.009055556,0.78,4.99,0,69.26,5.94,0,0,25.0635,,,
73,34.4,0.009555556,0.5,5,0,58.3,5.07,0,0,25.0669,,,
74,35.5,0.009861111,0.31,5,0,49.76,4.86,0,0,25.0694,,,
75,36.4,0.010111111,0.25,5,0,47.73,5.19,0,0,25.0717,,,
76,37.4,0.010388889,0.28,5,0,50.93,5.54,0,0,25.0743,,,
77,38.5,0.010694444,0.31,5,0,54.39,5.1,0,0,25.0773,,,
78,39.3,0.010916667,0.22,4.99,0,50.06,4.12,0,0,25.0798,,,
79,39.5,0.010972222,0.06,4.98,0,40.42,2.81,0.673010974,0,25.0814,,,
80,39,0.010833333,-0.14,4.97,0,27.6,2.76,0.664437586,0,25.0822,,,
81,38.5,0.010694444,-0.14,4.96,0,27.12,1.53,1.559670782,0,25.0829,,,
82,37.3,0.010361111,-0.33,4.95,0,14.98,2.97,0.382201646,0,25.0831,,,
83,37,0.010277778,-0.08,4.93,0,29.18,2.93,0.379115226,0,25.0839,,,
84,36.7,0.010194444,-0.08,4.91,0,28.8,2.05,0.995884774,0,25.0847,,,
85,35.9,0.009972222,-0.22,4.89,0,20.12,2.28,0.732510288,0,25.0851,,,
86,35.3,0.009805556,-0.17,4.87,0,22.37,2.1,0.83899177,0,25.0856,,,
87,34.6,0.009611111,-0.19,4.84,0,20.62,2.5,0.471879287,0,25.086,,,
88,34.2,0.0095,-0.11,4.82,0,24.52,-0.4,2.606824417,0,25.0866,,,
89,31.9,0.008861111,-0.64,4.79,0,-3.92,-3.17,4.669410151,0.3834,25.0866,,,
90,27.3,0.007583333,-1.28,4.76,0,-31.17,-3.27,4.480281207,3.04732,25.0876,,,
91,22,0.006111111,-1.47,4.72,0,-32.12,-2.34,3.343621399,3.139146667,25.0886,,,
92,17,0.004722222,-1.39,4.69,0,-22.99,-0.59,1.497942387,1.497942387,25.0891,,,
93,14.2,0.003944444,-0.78,4.65,0,-5.84,-0.19,0.988340192,0.57084,25.0891,,,
94,12,0.003333333,-0.61,4.61,0,-1.88,-0.44,1.049211248,0.183653333,25.0891,,,
95,9.1,0.002527778,-0.81,4.57,0,-4.37,-0.39,0.843106996,0.426946667,25.0891,,,
96,5.8,0.001611111,-0.92,4.52,0,-3.86,-0.07,0.354595336,0.354595336,25.0891,,,
97,3.6,0.001,-0.61,4.48,0,-0.69,0.03,0.139231824,0.067213333,25.0891,,,
98,2.2,0.000611111,-0.39,4.43,0,0.32,0,0.082990398,0,25.0891,,,
99,0,0,-0.61,4.38,0,0,0,0,0,25.0891,,,
100,0,0,0,4.33,0,0,0,0,0,25.0891,,,
101,0,0,0,4.28,0,0,0,0,0,25.0891,,,
102,0,0,0,4.22,0,0,0,0,0,25.0891,,,
103,0,0,0,4.16,0,0,0,0,0,25.0891,,,
104,0,0,0,4.11,0,0,0,0,0,25.0891,,,
105,0,0,0,4.05,0,0,0,0,0,25.0891,,,
106,0,0,0,3.98,0,0,0,0,0,25.0891,,,
107,0,0,0,3.92,0,0,0,0,0,25.0891,,,
108,0,0,0,3.85,0,0,0,0,0,25.0891,,,
109,0,0,0,3.78,0,0,0,0,0,25.0891,,,
110,0,0,0,3.72,0,0,0,0,0,25.0891,,,
111,0,0,0,3.64,0,0,0,0,0,25.0891,,,
112,0,0,0,3.57,0,0,0,0,0,25.0891,,,
113,0,0,0,3.5,0,0,0,0,0,25.0891,,,
114,0,0,0,3.42,0,0,0,0,0,25.0891,,,
115,0,0,0,3.35,0,0,0,0,0,25.0891,,,
116,0,0,0,3.27,0,0,0,0,0,25.0891,,,
117,0,0,0,3.19,0,0,0,0,0,25.0891,,,
118,0,0,0,3.11,0,0,0,0,0,25.0891,,,
119,0,0,0,3.02,0,0,0,0,0,25.0891,,,
120,0,0,0,2.94,0,0,0,0,0,25.0891,,,
121,0,0,0,2.85,0,0,0,0,0,25.0891,,,
122,0,0,0,2.77,0,0,0,0,0,25.0891,,,
123,0,0,0,2.68,0,0,0,0,0,25.0891,,,
124,0,0,0,2.59,0,0,0,0,0,25.0891,,,
125,0,0,0,2.5,0,0,0,0,0,25.0891,,,
126,0,0,0,2.41,0,0,0,0,0,25.0891,,,
127,0,0,0,2.32,0,0,0,0,0,25.0891,,,
128,0,0,0,2.22,0,0,0,0,0,25.0891,,,
129,0,0,0,2.13,0,0,0,0,0,25.0891,,,
130,0,0,0,2.03,0,0,0,0,0,25.0891,,,
131,0,0,0,1.94,0,0,0,0,0,25.0891,,,
132,0,0,0,1.84,0,0,0,0,0,25.0891,,,
133,0,0,0,1.74,0,0,0,0,0,25.0891,,,
134,0,0,0,1.64,0,0,0,0,0,25.0891,,,
135,0,0,0,1.55,0,0,0,0,0,25.0891,,,
136,0,0,0,1.45,0,0,0,0,0,25.0891,,,
137,0,0,0,1.34,0,0,0.01,0,0,25.0891,,,
138,0.2,5.56E-05,0.06,1.24,0,0.08,0.2,0,0,25.0891,,,
139,1.9,0.000527778,0.47,1.14,0,1.99,1.33,0,0,25.0891,,,
140,6.1,0.001694444,1.17,1.04,0,13.04,3.27,0,0,25.0893,,,
141,11.7,0.00325,1.56,0.94,0,32.12,3.93,0,0,25.0903,,,
142,16.4,0.004555556,1.31,0.83,0,38.56,2.65,0,0,25.0918,,,
143,18.9,0.00525,0.69,0.73,0,26,1.47,0,0,25.0925,,,
144,19.9,0.005527778,0.28,0.63,0,14.41,1.41,0,0,25.0927,,,
145,20.8,0.005777778,0.25,0.52,0,13.84,2.65,0,0,25.0929,,,
146,22.8,0.006333333,0.56,0.42,0,26.04,3.58,0,0,25.0936,,,
147,25.4,0.007055556,0.72,0.31,0,35.18,3.54,0,0,25.0948,,,
148,27.7,0.007694444,0.64,0.21,0,34.73,2.68,0,0,25.096,,,
149,29.2,0.008111111,0.42,0.1,0,26.28,1.51,0,0,25.0967,,,
150,29.8,0.008277778,0.17,0,0,14.84,0.14,0.406035665,0,25.0969,,,
151,29.4,0.008166667,-0.11,-0.1,0,1.35,-2.1,2.135116598,0,25.0969,,,
152,27.2,0.007555556,-0.61,-0.21,0,-20.59,-4.21,3.927983539,2.012613333,25.0973,,,
153,22.6,0.006277778,-1.28,-0.31,0,-41.38,-3.8,3.626028807,3.626028807,25.099,,,
154,17.3,0.004805556,-1.47,-0.42,0,-37.31,-2.19,2.098765432,2.098765432,25.1004,,,
155,13.3,0.003694444,-1.11,-0.52,0,-21.51,-0.57,0.563957476,0.563957476,25.1009,,,
156,12,0.003333333,-0.36,-0.63,0,-5.56,0.45,0,0,25.1009,,,
157,12.6,0.0035,0.17,-0.73,0,4.45,1.05,0,0,25.1009,,,
158,14.1,0.003916667,0.42,-0.83,0,10.34,2.48,0,0,25.101,,,
159,17.2,0.004777778,0.86,-0.94,0,24.32,2.72,0,0,25.1016,,,
160,20.1,0.005583333,0.81,-1.04,0,26.74,3.57,0,0,25.1023,,,
161,23.4,0.0065,0.92,-1.14,0,35.06,2.49,0,0,25.1035,,,
162,25.5,0.007083333,0.58,-1.24,0,24.48,2.68,0,0,25.1041,,,
163,27.6,0.007666667,0.58,-1.34,0,26.3,2.6,0,0,25.1048,,,
164,29.5,0.008194444,0.53,-1.45,0,25.56,2.27,0,0,25.1054,,,
165,31.1,0.008638889,0.44,-1.55,0,22.32,1.5,0,0,25.1059,,,
166,32.1,0.008916667,0.28,-1.64,0,14.74,1.68,0,0,25.1061,,,
167,33.2,0.009222222,0.31,-1.74,0,16.48,3.16,0,0,25.1064,,,
168,35.2,0.009777778,0.56,-1.84,0,31,3.31,0,0,25.1074,,,
169,37.2,0.010333333,0.56,-1.94,0,32.54,1.29,0,0,25.1084,,,
170,38,0.010555556,0.22,-2.03,0,12.71,-1.11,0.775720165,0,25.1085,,,
171,37.4,0.010388889,-0.17,-2.13,0,-10.86,-3.74,2.859224966,1.06216,25.1086,,,
172,35.1,0.00975,-0.64,-2.22,0,-36.68,-5.85,4.646947874,3.585973333,25.1099,,,
173,31,0.008611111,-1.14,-2.32,0,-57.47,-4.92,3.885288066,3.885288066,25.1132,,,
174,27.1,0.007527778,-1.08,-2.41,0,-48.36,-2.31,1.617283951,1.617283951,25.1155,,,
175,25.3,0.007027778,-0.5,-2.5,0,-22.67,-0.57,0.172839506,0.172839506,25.116,,,
176,25.1,0.006972222,-0.06,-2.59,1,-5.55,0.55,0,0,25.116,,,
177,25.9,0.007194444,0.22,-2.68,0,5.36,1.94,0,0,25.116,,,
178,27.8,0.007722222,0.53,-2.77,0,19.04,1.37,0,0,25.1163,,,
179,29.2,0.008111111,0.39,-2.85,0,13.44,0.04,0,0,25.1165,,,
180,29.6,0.008222222,0.11,-2.94,0,0.35,-0.65,0.101337449,0,25.1165,,,
181,29.5,0.008194444,-0.03,-3.02,1,-6.42,-0.92,0.301954733,0,25.1165,,,
182,29.2,0.008111111,-0.08,-3.11,1,-9.02,-1.69,0.887345679,0,25.1166,,,
183,28.3,0.007861111,-0.25,-3.19,0,-16.64,-3.1,2.0521262,1.626373333,25.1169,,,
184,26.1,0.00725,-0.61,-3.27,0,-30.48,-3.15,2.130486968,2.130486968,25.1178,,,
185,23.6,0.006555556,-0.69,-3.35,0,-30.94,-2.94,1.988340192,1.988340192,25.1187,,,
186,21,0.005833333,-0.72,-3.42,0,-28.87,-2.26,1.436728395,1.436728395,25.1195,,,
187,18.9,0.00525,-0.58,-3.5,0,-22.16,-1.85,1.111111111,1.111111111,25.12,,,
188,17.1,0.00475,-0.5,-3.57,0,-18.15,-1.44,0.787379973,0.787379973,25.1203,,,
189,15.7,0.004361111,-0.39,-3.64,0,-14.17,-1.21,0.621399177,0.621399177,25.1205,,,
190,14.5,0.004027778,-0.33,-3.72,0,-11.92,-0.92,0.386831276,0.386831276,25.1206,,,
191,13.7,0.003805556,-0.22,-3.78,0,-9.04,-0.88,0.364883402,0.364883402,25.1207,,,
192,12.9,0.003583333,-0.22,-3.85,0,-8.66,-0.65,0.174211248,0.174211248,25.1208,,,
193,12.5,0.003472222,-0.11,-3.92,0,-6.37,-0.59,0.127057613,0.127057613,25.1208,,,
194,12.2,0.003388889,-0.08,-3.98,1,-5.75,-0.55,0.082990398,0,25.1208,,,
195,12,0.003333333,-0.06,-4.05,1,-5.4,-0.44,0,0,25.1208,,,
196,12,0.003333333,0,-4.11,1,-4.37,-0.45,0,0,25.1208,,,
197,12,0.003333333,0,-4.16,1,-4.45,-0.46,0,0,25.1208,,,
198,12,0.003333333,0,-4.22,1,-4.55,-0.21,0,0,25.1208,,,
199,12.5,0.003472222,0.14,-4.28,0,-2.09,-0.23,0,0,25.1208,,,
200,13,0.003611111,0.14,-4.33,0,-2.24,0.06,0,0,25.1208,,,
201,14,0.003888889,0.28,-4.38,0,0.59,0.06,0,0,25.1208,,,
202,15,0.004166667,0.28,-4.43,0,0.57,0.43,0,0,25.1208,,,
203,16.5,0.004583333,0.42,-4.48,0,4.18,1.31,0,0,25.1208,,,
204,19,0.005277778,0.69,-4.52,0,12.85,1.19,0,0,25.1209,,,
205,21.2,0.005888889,0.61,-4.57,0,11.68,1.76,0,0,25.121,,,
206,23.8,0.006611111,0.72,-4.61,0,17.25,2.6,0,0,25.1213,,,
207,26.9,0.007472222,0.86,-4.65,0,25.49,2.35,0,0,25.1219,,,
208,29.6,0.008222222,0.75,-4.69,0,23.06,2.14,0,0,25.1224,,,
209,32,0.008888889,0.67,-4.72,0,21.06,3.61,0,0,25.1228,,,
210,35.2,0.009777778,0.89,-4.76,0,35.47,2.37,0,0,25.124,,,
211,37.5,0.010416667,0.64,-4.79,0,23.3,1.43,0,0,25.1245,,,
212,39.2,0.010888889,0.47,-4.82,0,14.04,0.78,0,0,25.1247,,,
213,40.5,0.01125,0.36,-4.84,0,7.64,0.47,0,0,25.1247,,,
214,41.6,0.011555556,0.31,-4.87,0,4.61,1.26,0,0,25.1247,,,
215,43.1,0.011972222,0.42,-4.89,0,12.33,2.12,0,0,25.1248,,,
216,45,0.0125,0.53,-4.91,0,20.83,2.62,0,0,25.1252,,,
217,47.1,0.013083333,0.58,-4.93,0,25.77,2.37,0,0,25.1259,,,
218,49,0.013611111,0.53,-4.95,0,23.25,1.75,0,0,25.1264,,,
219,50.6,0.014055556,0.44,-4.96,0,17.19,0.91,0,0,25.1267,,,
220,51.8,0.014388889,0.33,-4.97,0,8.9,0.27,0,0,25.1268,,,
221,52.7,0.014638889,0.25,-4.98,0,2.61,-0.91,0,0,25.1268,,,
222,53.1,0.01475,0.11,-4.99,0,-8.96,-0.92,0,0,25.1269,,,
223,53.5,0.014861111,0.11,-5,0,-9,-1.17,0,0,25.127,,,
224,53.8,0.014944444,0.08,-5,1,-11.49,-0.91,0,0,25.1271,,,
225,54.2,0.015055556,0.11,-5,0,-8.94,-0.38,0,0,25.1272,,,
226,54.8,0.015222222,0.17,-5,0,-3.75,-0.64,0,0,25.1272,,,
227,55.3,0.015361111,0.14,-5,0,-6.24,-0.62,0,0,25.1272,,,
228,55.8,0.0155,0.14,-4.99,0,-6.1,-0.87,0,0,25.1272,,,
229,56.2,0.015611111,0.11,-4.98,0,-8.59,-1.13,0,0,25.1273,,,
230,56.5,0.015694444,0.08,-4.97,1,-11.13,-1.85,0,0,25.1274,,,
231,56.5,0.015694444,0,-4.96,1,-18.12,-2.55,0.57973251,0,25.1277,,,
232,56.2,0.015611111,-0.08,-4.95,1,-25.05,-4.96,2.476508916,0,25.1283,,,
233,54.9,0.01525,-0.36,-4.93,0,-48.68,-6.49,3.696844993,3.696844993,25.1307,,,
234,52.9,0.014694444,-0.56,-4.91,0,-63.78,-6.05,3.38494513,3.38494513,25.1348,,,
235,51,0.014166667,-0.53,-4.89,0,-59.41,-4.34,2.074074074,2.074074074,25.1383,,,
236,49.8,0.013833333,-0.33,-4.87,0,-42.58,-3.02,1.018518519,1.018518519,25.1401,,,
237,49.2,0.013666667,-0.17,-4.84,0,-29.7,-3.36,1.338820302,1.338820302,25.141,,,
238,48.4,0.013444444,-0.22,-4.82,0,-33.04,-4.76,2.451131687,2.451131687,25.1421,,,
239,46.9,0.013027778,-0.42,-4.79,0,-46.78,-6.64,4.065843621,4.065843621,25.1443,,,
240,44.3,0.012305556,-0.72,-4.76,0,-65.25,-6.65,4.119341564,4.119341564,25.1486,,,
241,41.5,0.011527778,-0.78,-4.72,0,-65.27,-4.96,2.777777778,2.777777778,25.1529,,,
242,39.5,0.010972222,-0.56,-4.69,0,-48.69,-5.42,3.279320988,3.279320988,25.1553,,,
243,37,0.010277778,-0.69,-4.65,0,-53.27,-4.97,2.946502058,2.946502058,25.1581,,,
244,34.6,0.009611111,-0.67,-4.61,0,-48.85,-4.5,2.638374486,2.638374486,25.1605,,,
245,32.3,0.008972222,-0.64,-4.57,0,-44.18,-5.34,3.468621399,3.468621399,25.1624,,,
246,29,0.008055556,-0.92,-4.52,0,-52.48,-5.28,3.617798354,3.617798354,25.1651,,,
247,25.1,0.006972222,-1.08,-4.48,0,-51.86,-3.72,2.35202332,2.35202332,25.1678,,,
248,22.2,0.006166667,-0.81,-4.43,0,-36.55,-2,0.960733882,0.960733882,25.1691,,,
249,20.9,0.005805556,-0.36,-4.38,0,-19.65,-1.23,0.354080933,0.354080933,25.1695,,,
250,20.4,0.005666667,-0.14,-4.33,0,-12.06,-1.51,0.615740741,0.615740741,25.1696,,,
251,19.5,0.005416667,-0.25,-4.28,0,-14.8,-1.59,0.714849108,0.714849108,25.1698,,,
252,18.4,0.005111111,-0.31,-4.22,0,-15.6,-1.13,0.372427984,0.372427984,25.17,,,
253,17.8,0.004944444,-0.17,-4.16,0,-11.08,-0.64,0,0,25.1701,,,
254,17.8,0.004944444,0,-4.11,1,-6.23,-0.91,0.241426612,0,25.1701,,,
255,17.4,0.004833333,-0.11,-4.05,0,-8.96,-1.71,0.964849108,0.875666667,25.1702,,,
256,15.7,0.004361111,-0.47,-3.98,0,-16.84,-1.25,0.621399177,0.621399177,25.1705,,,
257,14.5,0.004027778,-0.33,-3.92,0,-12.31,0.11,0,0,25.1706,,,
258,15.4,0.004277778,0.25,-3.85,0,1.06,1.41,0,0,25.1706,,,
259,17.9,0.004972222,0.69,-3.78,0,13.82,1.85,0,0,25.1708,,,
260,20.6,0.005722222,0.75,-3.72,0,18.15,2.01,0,0,25.1711,,,
261,23.2,0.006444444,0.72,-3.64,0,19.77,2.15,0,0,25.1715,,,
262,25.7,0.007138889,0.69,-3.57,0,21.13,3.1,0,0,25.1719,,,
263,28.7,0.007972222,0.83,-3.5,0,30.41,4.77,0,0,25.1728,,,
264,32.5,0.009027778,1.06,-3.42,0,46.87,5.04,0,0,25.175,,,
265,36.1,0.010027778,1,-3.35,0,49.47,4.35,0,0,25.1774,,,
266,39,0.010833333,0.81,-3.27,0,42.7,2.61,0,0,25.1792,,,
267,40.8,0.011333333,0.5,-3.19,0,25.62,3.37,0,0,25.1798,,,
268,42.9,0.011916667,0.58,-3.11,0,33.12,2.44,0,0,25.1809,,,
269,44.4,0.012333333,0.42,-3.02,0,23.98,2.6,0,0,25.1815,,,
270,45.9,0.01275,0.42,-2.94,0,25.56,-0.19,0,0,25.1821,,,
271,46,0.012777778,0.03,-2.85,1,-1.84,-1.16,0.628257888,0,25.1821,,,
272,45.6,0.012666667,-0.11,-2.77,0,-11.39,-0.89,0.467592593,0.467592593,25.1822,,,
273,45.3,0.012583333,-0.08,-2.68,1,-8.7,-3.33,2.44170096,0,25.1823,,,
274,43.7,0.012138889,-0.44,-2.59,0,-32.74,-5.51,4.201817558,3.20068,25.1834,,,
275,40.8,0.011333333,-0.81,-2.5,0,-54.13,-4.95,3.783264746,3.783264746,25.1863,,,
276,38,0.010555556,-0.78,-2.41,0,-48.59,-5.69,4.469135802,4.469135802,25.1886,,,
277,34.4,0.009555556,-1,-2.32,0,-55.85,-4.96,3.918895748,3.918895748,25.1917,,,
278,30.9,0.008583333,-0.97,-2.22,0,-48.67,-6.25,5.222222222,4.757946667,25.1941,,,
279,25.5,0.007083333,-1.5,-2.13,0,-61.42,-4.02,3.297153635,3.297153635,25.1979,,,
280,21.4,0.005944444,-1.14,-2.03,0,-39.48,-1.17,0.855967078,0.855967078,25.1994,,,
281,20.2,0.005611111,-0.33,-1.94,0,-11.52,2.65,0,0,25.1995,,,
282,22.9,0.006361111,0.75,-1.84,0,26.06,4.33,0,0,25.2002,,,
283,26.6,0.007388889,1.03,-1.74,0,42.55,4.85,0,0,25.202,,,
284,30.2,0.008388889,1,-1.64,0,47.65,6,0,0,25.2043,,,
285,34.1,0.009472222,1.08,-1.55,0,58.92,5.72,0,0,25.2078,,,
286,37.4,0.010388889,0.92,-1.45,0,56.22,6.34,0,0,25.2109,,,
287,40.7,0.011305556,0.92,-1.34,0,62.28,6.97,0,0,25.2148,,,
288,44,0.012222222,0.92,-1.24,0,68.5,7.63,0,0,25.2195,,,
289,47.3,0.013138889,0.92,-1.14,0,74.92,4.99,0,0,25.2251,,,
290,49.2,0.013666667,0.53,-1.04,0,49,2.28,0,0,25.2275,,,
291,49.8,0.013833333,0.17,-0.94,0,22.39,-0.35,1.018518519,0,25.228,,,
292,49.2,0.013666667,-0.17,-0.83,0,-3.43,-1.37,1.835219479,0.33512,25.228,,,
293,48.1,0.013361111,-0.31,-0.73,0,-13.46,-0.62,1.308641975,1.308641975,25.2282,,,
294,47.3,0.013138889,-0.22,-0.63,0,-6.12,0.04,0.80675583,0.598293333,25.2282,,,
295,46.8,0.013,-0.14,-0.52,0,0.38,0.92,0.160322359,0,25.2282,,,
296,46.7,0.012972222,-0.03,-0.42,0,9.01,1.44,0,0,25.2282,,,
297,46.8,0.013,0.03,-0.31,0,14.12,1.89,0,0,25.2284,,,
298,47.1,0.013083333,0.08,-0.21,0,18.58,1.82,0,0,25.2287,,,
299,47.3,0.013138889,0.06,-0.1,0,17.92,1.44,0,0,25.229,,,
300,47.3,0.013138889,0,0,0,14.11,1.04,0.323731139,0,25.2292,,,
301,47.1,0.013083333,-0.06,0.1,0,10.23,0.5,0.803326475,0,25.2293,,,
302,46.6,0.012944444,-0.14,0.21,0,4.88,-0.05,1.267489712,0,25.2293,,,
303,45.8,0.012722222,-0.22,0.31,0,-0.47,-0.43,1.553497942,0.046386667,25.2293,,,
304,44.8,0.012444444,-0.28,0.42,0,-4.19,-1.35,2.265946502,0.409906667,25.2293,,,
305,43.3,0.012027778,-0.42,0.52,0,-13.21,-1.26,2.188786008,1.291253333,25.2294,,,
306,41.8,0.011611111,-0.42,0.63,0,-12.39,-0.28,1.416323731,1.210786667,25.2295,,,
307,40.8,0.011333333,-0.28,0.73,0,-2.79,0.66,0.695301783,0.27264,25.2295,,,
308,40.3,0.011194444,-0.14,0.83,0,6.52,1.23,0.275720165,0,25.2295,,,
309,40.1,0.011138889,-0.06,0.94,0,12.06,0.95,0.547325103,0,25.2296,,,
310,39.7,0.011027778,-0.11,1.04,0,9.31,0.79,0.676440329,0,25.2297,,,
311,39.2,0.010888889,-0.14,1.14,0,7.8,0.52,0.932613169,0,25.2297,,,
312,38.5,0.010694444,-0.19,1.24,0,5.06,-0.18,1.431584362,0,25.2297,,,
313,37.4,0.010388889,-0.31,1.34,0,-1.75,-0.59,1.762002743,0.171346667,25.2297,,,
314,36,0.01,-0.39,1.45,0,-5.84,-0.82,1.931412894,0.57084,25.2297,,,
315,34.4,0.009555556,-0.44,1.55,0,-8.01,-0.5,1.617969822,0.782893333,25.2297,,,
316,33,0.009166667,-0.39,1.64,0,-4.87,-0.3,1.442215364,0.476173333,25.2297,,,
317,31.7,0.008805556,-0.36,1.74,0,-2.91,-0.78,1.798525377,0.284,25.2297,,,
